	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000204291	9	6	0	18	7	4	6	2	4	1	1	6	1	0	2	10	7	10	9	17	6	1	0	2	29	17	2	0	1	16	2	0	2	2	7	1	2	1	8	4	0	9	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000170989	63	9	9	18	28	25	27	29	31	6	11	14	20	21	20	13	32	23	22	76	29	28	17	24	50	10	17	31	29	92	22	4	26	4	29	3	27	9	11	8	12	21	21
ENSG00000108381	13	3	0	19	6	3	1	12	2	6	1	10	0	1	3	6	6	9	10	24	2	1	1	0	26	14	2	2	0	6	3	3	2	1	19	0	1	4	9	2	1	1	0
ENSG00000250637	2	0	0	6	2	2	0	1	0	0	0	2	0	0	0	3	0	7	1	3	3	0	1	0	2	0	2	2	0	4	1	0	1	0	3	1	0	1	2	1	0	2	0
ENSG00000182118	15	3	1	10	8	5	10	1	5	1	5	7	1	1	4	7	7	13	6	4	6	9	1	7	8	4	6	0	1	6	4	0	1	1	4	2	0	0	3	2	1	11	5
ENSG00000162739	55	10	4	41	35	35	35	32	44	11	19	29	7	14	65	5	18	85	16	37	67	28	10	18	63	7	31	62	27	106	17	3	40	4	43	8	21	17	20	27	12	42	26
ENSG00000251334	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000139168	263	113	50	169	126	68	360	94	158	92	148	80	27	157	248	68	66	220	102	176	260	231	132	168	280	60	82	287	455	214	135	47	104	64	156	64	130	98	163	88	99	100	132
