	SRR065639	SRR065640	SRR065641	SRR065642	SRR065643	SRR065644	SRR065645	SRR065646
PF3D7_1440300	6	8	6	37	121	180	214	98
PF3D7_1361500	2162	532	62	20	31	96	209	1282
PF3D7_0513200	2176	5779	7639	6243	6567	5257	7485	4710
PF3D7_0109800	337	743	1041	1002	1097	705	1168	729
PF3D7_1120100	670	4913	10265	11739	10250	9290	11683	5650
PF3D7_0604500	42723	61542	46711	38050	42896	30982	54169	29201
PF3D7_1231200	3053	1208	203	45	25	37	74	207
PF3D7_1225900	51	43	32	102	366	522	1368	1000
PF3D7_1235900	883	2275	2705	2366	2691	2353	3545	2021
PF3D7_1333000	51	97	302	582	1208	1100	1401	567
PF3D7_0914000	421	350	379	565	817	583	671	281
PF3D7_1016400	924	1898	2475	3541	6105	4452	3820	1234
PF3D7_0108400	479	564	476	496	557	391	496	268
PF3D7_0817700	3925	842	152	46	53	118	1026	8984
PF3D7_0607300	44	52	37	32	115	362	838	355
PF3D7_0111500	833	212	58	100	719	1503	2494	2854
PF3D7_1103300	2	2	4	0	6	2	7	2
