	T5	T10	T15	T20	T25	T30	T35	T40
PF3D7_1433400	16	11	13	19	17	13	22	50
PF3D7_1473600	9	8	48	67	71	45	52	56
PF3D7_1006900	7	2	12	5	6	11	12	25
PF3D7_1014800	0	0	0	3	17	8	10	3
PF3D7_1471900	8	4	2	1	3	7	24	10
PF3D7_1026600	21	6	3	1	0	1	2	1
PF3D7_0107600	1	1	2	0	0	2	2	7
PF3D7_0922100	6	9	9	6	2	11	23	61
PF3D7_1471000	10	9	7	4	6	5	7	4
PF3D7_1429200	2	0	2	9	26	30	40	97
PF3D7_0800100	24	8	8	23	24	30	41	62
PF3D7_1416400	6	1	2	15	12	23	36	66
PF3D7_0516200	29	13	9	18	1	10	6	37
PF3D7_1029600	16	3	7	3	4	3	6	10
PF3D7_0517100	1	8	11	15	19	13	9	8
PF3D7_1125200	7	4	9	11	9	10	30	59
PF3D7_1114800	65	55	64	60	54	53	100	297
PF3D7_0520800	2	2	4	1	1	1	2	6
PF3D7_0805600	8	4	0	3	0	0	4	7
PF3D7_1320900	1	1	1	1	0	1	0	2
PF3D7_1242600	4	10	27	17	20	11	32	21
PF3D7_0313500	6	1	2	4	13	29	121	148
PF3D7_1310700	11	6	5	4	5	7	5	47
PF3D7_1209900	14	5	2	11	11	4	6	20
PF3D7_1302400	46	23	11	15	13	32	31	33
PF3D7_1300100	26	10	3	7	6	7	31	108
PF3D7_1448000	4	5	18	25	51	64	132	107
PF3D7_0614200	25	3	3	2	2	1	3	100
PF3D7_1221900	67	12	22	22	37	123	324	875
PF3D7_0322900	6	3	2	2	4	0	1	2
PF3D7_0934100	37	6	2	61	8	20	57	186
PF3D7_0918100	65	34	24	26	217	685	1586	2414
PF3D7_1018100	29	7	1	0	1	1	1	55
PF3D7_1019400	11	4	4	2	5	4	8	38
PF3D7_1211200	1	3	1	1	3	2	8	3
PF3D7_0518300	145	32	5	4	0	2	25	362
PF3D7_1023200	102	77	40	26	28	93	192	148
PF3D7_1222300	10	10	7	9	3	2	8	7
PF3D7_0518400	20	8	7	14	17	27	69	237
PF3D7_1009400	85	21	7	16	39	57	73	71
PF3D7_0630000	0	3	1	0	2	1	0	0
PF3D7_1320100	1081	1034	1507	1179	483	296	625	968
PF3D7_1100700	0	0	0	0	0	0	0	0
PF3D7_1302200	1	4	0	7	5	9	23	26
PF3D7_1221300	0	0	4	1	2	0	4	1
PF3D7_0616800	0	1	2	6	10	3	13	10
PF3D7_1429700	23	22	26	11	35	94	381	396
PF3D7_1441700	8	7	5	8	14	25	60	83
PF3D7_0415300	543	373	413	476	624	574	1222	1697
PF3D7_0806800	18	61	94	95	62	48	69	94
PF3D7_1119300	0	5	17	15	11	2	14	2
PF3D7_0222900	0	1	0	0	0	0	0	1
PF3D7_0105800	8	1	4	2	12	18	45	102
PF3D7_0526600	4	2	5	5	3	4	9	20
PF3D7_1423800	52	339	516	655	425	197	173	121
PF3D7_0822100	3	0	2	4	13	32	86	150
PF3D7_0924100	66	14	4	13	5	1	8	21
PF3D7_0918400	37	13	4	2	10	84	405	606
PF3D7_1441000	220	27	11	6	7	1	4	163
PF3D7_1015100	21	4	5	4	17	19	38	55
PF3D7_0322400	17	1	5	13	21	32	32	77
PF3D7_0507500	607	141	35	26	80	83	132	139
PF3D7_0521100	0	1	5	2	1	5	2	4
PF3D7_1254400	0	0	0	0	0	0	0	0
PF3D7_1107400	416	425	199	556	576	176	105	50
PF3D7_0810800	23	2	1	0	1	2	5	16
PF3D7_0830900	18	5	29	110	85	32	25	30
PF3D7_1438000	59	171	139	133	129	86	173	206
PF3D7_0937200	0	0	0	0	0	1	0	0
PF3D7_0832100	2	2	1	0	1	0	0	0
PF3D7_1471800	28	114	181	162	87	72	125	125
PF3D7_1454200	0	1	0	1	1	3	12	20
PF3D7_1348600	2	0	0	0	0	0	2	3
PF3D7_1203700	22	38	41	29	54	80	185	197
PF3D7_1247300	117	37	90	275	659	674	893	420
PF3D7_1113100	65	5	14	1	3	8	15	211
PF3D7_0928800	15	6	3	19	19	12	24	29
PF3D7_0601300	0	0	0	0	0	0	0	0
PF3D7_1033200	1	3	8	13	8	5	5	11
PF3D7_0702500	1	8	4	5	0	0	3	6
PF3D7_1362200	9	1	5	0	0	0	1	4
PF3D7_1113300	39	32	36	25	31	28	41	66
PF3D7_1138500	2	2	4	2	2	2	1	2
PF3D7_1421900	4	2	1	7	2	8	1	3
PF3D7_1421200	8	9	2	2	3	0	0	2
PF3D7_1443800	10	3	6	1	2	4	5	73
PF3D7_0100200	6	18	22	37	12	8	1	4
PF3D7_0406000	14	26	72	62	73	52	92	109
PF3D7_1408300	1	1	4	1	9	2	0	3
PF3D7_0816300	5	0	1	2	2	0	2	16
PF3D7_1352200	53	108	92	119	50	107	447	545
PF3D7_1122100	4	0	0	0	3	3	7	0
PF3D7_1320200	1	0	9	10	17	17	28	46
PF3D7_0508200	205	17	8	5	1	4	40	805
PF3D7_1121600	104	21	7	4	5	1	14	194
PF3D7_1231400	21	2	1	4	1	2	1	7
PF3D7_1216500	5	10	11	7	13	2	8	53
PF3D7_0532100	1	2	3	6	12	5	12	9
PF3D7_1412500	34	152	130	166	100	43	26	17
PF3D7_1322000	6	12	8	7	0	6	18	15
PF3D7_1002900	20	4	1	0	2	0	5	50
PF3D7_1001200	23	10	8	1	0	1	1	0
PF3D7_1308100	17	26	52	48	70	44	34	39
PF3D7_0806300	13	4	2	2	2	4	4	83
PF3D7_1249300	100	19	3	8	64	153	446	719
PF3D7_1027000	22	21	15	37	21	98	412	165
PF3D7_0816000	2	0	1	6	0	4	4	16
PF3D7_0318700	1	1	1	3	2	1	1	3
PF3D7_0910600	1	0	0	0	0	0	0	3
PF3D7_0104500	18	12	0	5	11	5	28	31
PF3D7_1249600	7	2	1	1	3	6	25	33
PF3D7_0727800	24	30	26	38	22	12	15	11
PF3D7_0504700	10	4	0	2	1	8	78	155
PF3D7_0402200	16	25	12	11	2	1	0	0
PF3D7_0305200	177	141	215	142	75	53	86	96
PF3D7_0607100	3	1	0	1	2	1	8	9
PF3D7_1338100	11	20	24	21	15	6	13	35
PF3D7_0502800	36	16	27	44	139	149	265	248
PF3D7_0705900	0	0	0	0	4	1	5	1
PF3D7_1407200	10	17	14	28	33	24	21	8
PF3D7_0524900	1	1	2	2	10	3	1	4
PF3D7_1216400	7	12	4	3	4	0	2	4
PF3D7_1132400	56	25	6	15	22	48	303	498
PF3D7_0308700	2	1	0	5	3	3	6	8
PF3D7_1241200	4	3	2	2	1	1	5	6
PF3D7_0611100	1	3	0	0	1	0	1	6
PF3D7_1332000	7	11	12	6	12	8	5	28
PF3D7_1124400	5	6	11	13	23	10	11	31
PF3D7_0531200	3	1	0	0	6	0	2	3
PF3D7_0928000	34	8	4	3	7	1	0	41
PF3D7_0804300	3	1	3	2	1	5	2	12
PF3D7_0617300	1	0	0	1	1	0	0	3
PF3D7_0526800	1	3	1	9	12	4	22	21
PF3D7_1445600	10	15	28	16	24	21	18	15
PF3D7_0424700	92	193	226	416	181	61	50	26
PF3D7_1131000	2	1	2	8	112	178	236	167
PF3D7_0632700	44	112	68	207	68	26	15	32
PF3D7_1461800	3	2	0	0	0	4	1	0
PF3D7_1208800	10	6	4	4	5	15	15	14
PF3D7_1442200	1	1	0	0	3	0	3	9
PF3D7_1349400	181	150	185	167	195	184	503	1319
PF3D7_1039900	0	0	0	0	0	0	0	0
PF3D7_1018600	77	265	521	389	179	89	85	58
PF3D7_0111700	1	0	0	1	4	1	5	3
PF3D7_0727900	27	51	28	20	18	20	21	28
PF3D7_1002700	8	11	14	14	7	9	36	88
PF3D7_1124600	9	26	36	31	17	21	41	41
PF3D7_0701900	6	3	3	1	0	2	1	1
PF3D7_1424700	0	1	1	0	1	0	1	0
PF3D7_0903700	17	0	6	62	65	32	23	38
PF3D7_0417600	1	0	0	0	2	4	24	25
PF3D7_1418100	18	13	10	44	26	57	140	93
PF3D7_0628100	8	3	1	1	6	17	9	10
PF3D7_1309300	39	9	24	34	21	25	23	106
PF3D7_0900700	2	0	0	1	1	0	1	2
PF3D7_0710400	6	1	1	4	5	8	16	15
PF3D7_1474400	17	14	15	11	12	20	22	73
PF3D7_1451200	129	197	215	66	21	22	18	18
PF3D7_1455200	127	15	2	2	2	1	4	4
PF3D7_1139500	2	2	0	2	0	5	6	10
PF3D7_0703300	1	6	7	12	7	7	17	18
PF3D7_1411500	0	0	0	1	1	1	2	6
PF3D7_1232500	30	46	41	26	27	23	63	36
PF3D7_0214600	485	68	19	11	6	6	9	28
PF3D7_1217400	1	18	12	8	17	29	52	42
PF3D7_1213500	10	3	4	2	18	26	55	70
PF3D7_1229900	47	16	4	1	0	2	2	12
PF3D7_0913400	2	25	32	45	22	23	19	34
PF3D7_0527800	0	0	2	2	0	0	0	0
PF3D7_0107900	7	5	4	20	52	58	97	120
PF3D7_1439200	14	8	14	14	17	18	28	53
PF3D7_0934300	49	10	3	2	3	1	5	53
PF3D7_1470950	0	4	1	1	0	0	2	1
PF3D7_0203200	77	10	5	2	0	0	1	10
PF3D7_1109700	0	0	0	0	1	0	0	0
PF3D7_0616100	2	2	0	0	1	1	5	14
PF3D7_0805000	12	3	10	13	4	3	3	10
PF3D7_1465200	53	8	12	5	3	42	147	580
PF3D7_1027100	0	1	3	2	0	0	1	3
PF3D7_0514900	20	72	99	85	56	24	29	56
PF3D7_1408700	80	249	496	765	934	643	946	754
PF3D7_1142500	5	3	6	9	2	6	11	21
PF3D7_1121800	0	1	1	0	0	1	1	5
PF3D7_1245000	37	68	43	52	81	161	292	224
PF3D7_1203600	898	1063	1561	854	1124	872	1585	1598
PF3D7_1135900	3	5	5	2	5	3	5	2
PF3D7_0609500	0	0	2	0	0	0	1	3
PF3D7_0415700	0	3	1	2	0	1	3	1
PF3D7_0105000	0	0	0	0	0	0	0	0
PF3D7_1316800	11	4	3	1	0	0	1	5
PF3D7_0928400	125	402	485	818	550	386	483	313
PF3D7_0717500	13	5	6	7	11	5	29	77
PF3D7_1369300	44	160	248	280	217	171	341	615
PF3D7_1031900	5	5	2	3	1	1	3	6
PF3D7_0529200	14	16	2	16	55	93	163	117
PF3D7_1405100	3	5	5	2	1	3	8	9
PF3D7_1134700	8	4	7	15	6	4	22	38
PF3D7_1442100	1	0	2	1	2	0	1	5
PF3D7_1350000	2	1	1	0	1	0	2	8
PF3D7_1142700	3	0	7	2	8	7	5	9
PF3D7_1111600	5	25	26	17	34	28	63	55
PF3D7_1012800	1774	1164	1459	1292	1549	1148	1815	2425
PF3D7_0409500	1	10	15	21	17	14	11	3
PF3D7_0218500	7	5	6	15	39	19	24	29
PF3D7_0720900	0	1	1	1	0	1	3	3
PF3D7_1308200	130	243	251	407	424	270	222	215
PF3D7_1302000	74	131	81	161	87	36	59	28
PF3D7_0222200	0	0	0	0	0	0	0	0
PF3D7_1241800	41	56	55	51	46	160	432	420
PF3D7_1032600	36	33	49	74	80	58	120	246
PF3D7_1025600	2	0	0	0	1	0	1	0
PF3D7_1219700	13	13	7	12	15	26	14	30
PF3D7_0531500	0	0	0	0	0	0	0	0
PF3D7_1039000	3	3	5	14	6	1	2	0
PF3D7_1364400	109	19	7	15	12	11	30	41
PF3D7_0323700	4	4	16	15	18	16	30	27
PF3D7_1337600	0	0	1	0	1	0	0	0
PF3D7_0208600	4	7	6	14	15	12	33	30
PF3D7_1027600	11	14	19	33	10	6	13	12
PF3D7_0928150	23	79	201	302	387	268	430	307
PF3D7_0713100	0	3	2	6	3	2	0	0
PF3D7_0908000	4	1	0	0	1	0	9	6
PF3D7_1203900	5	1	0	5	2	4	4	2
PF3D7_0618800	9	14	27	39	35	51	78	118
PF3D7_1254600	0	0	0	0	0	0	0	0
PF3D7_0210900	1	6	4	1	3	1	2	2
PF3D7_1224400	13	12	2	3	9	3	21	66
PF3D7_1369700	0	0	0	2	0	1	2	8
PF3D7_0306200	10	16	34	52	76	153	366	404
PF3D7_1239500	2	0	1	0	0	1	2	7
PF3D7_1478800	1	0	1	5	1	0	0	0
PF3D7_1427500	0	1	2	0	4	4	12	5
PF3D7_0627100	6	4	5	4	1	7	5	16
PF3D7_1009300	5	14	42	16	10	14	25	20
PF3D7_1113600	3	1	1	5	0	0	1	13
PF3D7_0804900	28	118	181	109	68	95	158	102
