	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_1105600	33344	70917	21049	8050	8001	22072	4097	19378	19255	22755	2890	7081	13198	22777	3796	17822	16495	37772	18350	1620	4899	7404	25883	34136	8510	17429	14893	8559	23121	6835	10165	3524	20247	11770	3573	5142	49006	15425	3393	1462	40871	12767	20922
PF3D7_1036500	129	49	42	12	47	195	3	112	90	33	0	15	15	6	92	126	138	604	58	4	7	2	21	30	3	24	41	1	27	15	2	1	1	16	13	1	7	17	18	2	2	62	3
PF3D7_1321800	4751	9300	2915	1135	1405	2817	416	4580	3013	3672	550	1033	1565	3382	563	1334	2910	4893	3153	244	437	1164	4031	4389	504	1620	2048	964	2235	1066	875	283	1482	2400	519	456	5485	2626	949	257	5947	1327	3622
PF3D7_0810700	5	623	9	5	8	5	9	4	7	42	12	10	3	4	1	1	7	2	4	0	37	25	48	0	90	0	3	8	149	0	77	13	222	0	0	25	1047	13	0	0	50	23	2
PF3D7_1136800	1826	5255	1333	586	277	396	263	769	862	1649	197	346	157	1698	152	39	615	940	658	93	188	526	1601	261	303	127	376	376	1176	143	539	104	624	662	114	180	2101	704	221	65	2376	137	1035
PF3D7_1015700	3	8	1	0	0	2	0	0	0	1	4	1	0	0	2	0	2	5	2	0	0	1	0	0	0	2	0	0	4	0	1	0	0	0	0	0	5	1	3	0	0	0	0
PF3D7_0632500	73	213	306	87	174	40	243	447	415	138	32	91	22	223	50	15	92	36	133	5	26	163	59	61	112	18	96	159	451	12	331	22	2693	19	43	30	849	43	67	15	73	25	16
PF3D7_1420400	8266	8795	3852	2593	1645	1235	1033	1898	3487	4132	416	663	197	4479	462	50	2785	2788	2358	345	738	1343	4469	553	947	414	1061	836	2928	513	1692	329	1958	1374	332	403	5217	2044	340	146	3669	481	3431
PF3D7_1407600	555	133	736	72	48	2326	19	430	432	228	4	43	219	383	49	46	592	220	983	7	12	26	75	528	6	106	130	9	71	86	35	10	15	101	43	5	92	63	45	6	37	180	39
PF3D7_0703100	160	515	75	45	19	89	20	118	113	152	19	55	15	105	6	0	85	143	68	14	20	35	155	46	28	15	62	34	54	8	49	11	57	68	8	12	244	64	31	3	193	38	74
PF3D7_0631300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
PF3D7_1431300	3012	4768	1888	780	658	609	337	1154	2005	1935	122	320	391	2107	284	50	1424	1647	1110	170	268	514	2809	1030	406	205	766	287	818	155	551	94	617	633	128	138	2551	1059	123	55	1985	384	2456
PF3D7_0913150	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1349600	26	1564	15	42	17	5	39	11	16	101	12	30	0	23	19	1	18	43	10	2	22	30	51	0	51	5	7	126	356	2	215	24	145	0	6	45	846	15	4	2	183	16	4
PF3D7_1361800	668	120	539	72	1011	2100	29	1462	1597	159	19	104	46	9	1514	1377	1278	13916	337	9	30	130	39	159	23	90	442	4	2137	333	8	9	18	128	75	9	13	44	136	37	5	550	23
PF3D7_0906400	138	83	110	23	13	130	13	93	55	86	3	15	47	107	12	25	63	44	270	2	2	13	29	95	2	78	55	3	33	26	38	2	6	40	17	9	27	37	18	3	16	41	55
PF3D7_0510200	1760	4139	920	546	288	306	288	583	1029	1326	129	196	181	1349	157	14	780	833	537	92	128	422	1637	391	199	81	240	208	748	157	321	49	358	528	122	84	1334	520	195	46	1154	167	644
PF3D7_0935390	33	26	55	19	25	34	3	45	47	31	10	20	18	33	33	10	41	57	42	2	32	13	22	36	48	11	12	12	37	19	13	3	4	15	12	3	107	25	36	2	2	16	9
PF3D7_1035100	38	48	19	10	12	13	2	20	22	13	0	7	1	4	40	20	63	243	27	2	3	4	6	1	2	18	5	2	78	10	4	2	3	2	9	2	5	16	6	0	2	16	1
PF3D7_0421700	6	14	8	6	4	6	4	4	5	2	0	2	1	0	1	4	18	22	2	0	1	0	4	0	0	6	4	1	0	4	2	2	2	0	10	3	5	8	11	0	1	5	0
PF3D7_1321500	21	19	30	4	15	26	1	34	55	9	1	11	0	2	52	21	56	330	19	3	8	12	4	2	4	6	10	3	160	23	22	17	2	1	5	26	149	5	8	0	1	21	0
PF3D7_0829700	1	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	3	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	2	1	4	0	2	0	0	0	0
PF3D7_0216000	61	58	27	16	11	16	3	29	26	24	10	16	6	2	11	16	69	86	39	2	12	5	7	1	4	24	12	3	8	7	5	3	8	3	23	0	2	19	37	3	2	26	0
PF3D7_0309700	925	6055	659	421	416	183	307	305	722	1835	60	73	77	545	160	108	391	1063	735	57	78	276	1606	264	70	176	114	172	486	105	106	31	81	182	42	47	542	410	13	14	1925	170	502
PF3D7_1464500	396	1702	491	398	151	688	83	234	713	383	92	326	22	371	145	24	177	434	180	28	567	200	321	65	473	24	172	442	1430	57	1499	338	613	93	25	500	3022	274	65	19	1156	181	156
PF3D7_1355600	22	331	34	12	7	24	6	11	16	38	3	10	10	17	7	7	24	28	17	0	9	14	36	17	7	7	8	6	43	3	20	18	2	4	7	17	227	15	5	0	53	9	2
