	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_1227400	141	193	106	29	15	26	18	87	61	30	0	45	19	71	2	10	55	54	29	4	25	15	106	20	40	11	57	17	25	16	45	7	63	16	8	9	174	33	6	6	69	34	49
PF3D7_1126200	223	791	126	73	27	37	38	120	163	137	20	74	23	120	6	7	105	96	45	11	15	39	272	48	54	21	67	61	66	10	45	8	124	24	6	8	372	66	8	14	390	29	117
PF3D7_1242500	2	8	0	2	0	0	0	3	1	0	0	4	2	1	0	0	5	2	0	0	1	0	3	0	1	1	1	0	3	0	1	0	0	0	0	2	2	0	1	0	2	1	0
PF3D7_0806700	188	279	60	53	17	23	13	61	77	70	6	28	17	88	6	4	67	49	33	8	23	22	122	25	25	8	50	15	36	7	96	10	81	15	14	12	213	44	14	7	86	9	62
PF3D7_0911100	27	32	14	6	11	75	5	24	17	2	1	0	1	2	3	23	29	77	8	1	2	6	5	4	0	10	17	4	6	2	3	1	2	5	7	1	2	3	14	3	8	19	2
PF3D7_0303500	11	26	13	5	2	5	0	3	5	10	1	7	0	0	0	2	26	13	13	0	0	2	6	0	2	5	2	0	2	2	4	3	0	0	4	0	24	4	11	0	4	3	0
PF3D7_0422800	7	6	2	1	2	5	0	11	1	2	0	4	1	5	1	0	5	10	5	0	0	1	6	0	0	2	1	1	6	0	2	1	0	1	0	1	3	2	4	2	3	2	0
PF3D7_0926300	44	129	16	19	3	6	7	11	15	23	6	7	1	30	2	0	19	18	24	5	3	13	49	8	3	8	4	8	14	5	8	4	9	5	4	4	30	26	14	2	77	6	17
PF3D7_1436400	4	15	1	6	6	7	2	9	5	5	0	1	4	0	0	1	12	4	1	0	3	1	1	9	3	3	1	0	0	0	5	0	2	0	0	2	16	2	4	1	4	3	0
PF3D7_1215600	1	2	5	1	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
PF3D7_0808700	11	30	17	1	3	2	2	13	6	8	1	8	1	4	2	0	23	11	6	3	3	0	10	1	3	1	4	1	8	1	8	0	36	0	2	0	5	2	2	6	1	3	3
PF3D7_1444700	4	23	13	1	5	16	0	7	2	0	0	1	5	1	0	2	4	5	1	0	1	0	1	12	3	2	3	1	4	1	0	1	4	1	2	2	11	2	5	0	2	1	0
PF3D7_1209600	15	68	7	9	1	7	1	1	4	9	0	7	0	4	1	1	20	20	9	2	0	0	9	1	3	2	2	4	10	0	7	1	4	1	3	2	6	2	11	0	16	3	0
PF3D7_0523800	268	227	147	72	32	101	23	161	144	77	6	45	85	139	21	32	199	159	86	18	11	27	149	121	8	37	104	13	17	54	57	6	53	58	20	8	81	69	24	12	185	71	170
PF3D7_1459700	8	15	11	2	0	3	0	2	3	0	0	3	0	5	0	0	10	10	1	0	1	1	5	1	1	2	2	0	4	2	1	0	1	4	1	0	5	1	1	0	3	5	1
PF3D7_1409000	85	223	44	25	14	9	6	27	23	64	7	6	2	26	3	0	40	60	25	4	9	16	100	2	14	4	16	5	24	4	19	6	16	12	15	5	67	24	4	3	77	7	19
PF3D7_1028900	13	13	7	2	0	5	1	0	3	1	0	5	0	1	10	3	13	15	4	0	0	2	0	1	0	3	1	0	2	2	2	0	0	0	1	0	4	0	3	0	1	3	0
PF3D7_1447100	67	98	33	5	6	10	5	23	33	16	1	1	5	18	1	2	24	22	11	0	6	7	44	8	3	0	8	4	6	3	8	1	5	6	0	3	44	11	5	0	14	4	19
PF3D7_1366000	2	12	1	0	2	0	1	2	0	1	0	6	0	2	1	0	2	13	0	0	1	1	2	2	0	0	0	0	0	0	1	0	0	1	0	0	4	1	0	0	4	1	1
PF3D7_1026000	19	33	32	41	10	11	7	155	4	12	0	26	3	19	0	1	30	5	28	4	45	11	53	4	67	6	37	34	14	4	32	5	16	18	5	11	228	22	2	1	47	55	98
PF3D7_0919800	537	373	435	74	45	85	36	207	212	92	5	23	26	185	14	12	199	140	95	5	12	21	234	80	15	17	81	9	24	16	37	4	6	37	22	6	59	57	6	8	202	35	102
PF3D7_0205000	1	10	2	2	0	1	0	0	0	1	0	1	1	1	1	0	4	2	1	1	0	0	1	0	2	1	2	0	5	2	3	1	0	0	0	2	5	1	0	0	0	3	0
PF3D7_1354200	30	56	11	6	1	6	2	11	10	13	1	8	2	0	1	2	17	12	7	3	4	3	21	1	6	5	4	8	8	1	10	1	12	3	4	0	39	5	6	0	16	12	1
PF3D7_1353200	1103	2289	105	222	115	173	130	268	438	355	69	152	52	305	24	1	395	182	79	35	88	186	560	86	173	13	145	100	242	60	446	21	743	73	23	20	1253	170	23	55	2067	121	412
PF3D7_0700300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0610800	1285	1601	495	438	321	535	130	1072	780	531	86	215	248	775	88	111	927	992	541	107	112	192	1201	552	175	247	534	128	193	231	433	52	453	250	166	79	972	535	109	94	1512	238	756
PF3D7_0914300	128	373	78	28	26	55	31	56	90	80	15	24	69	116	8	41	92	163	71	21	13	24	188	79	15	53	47	12	29	48	39	8	39	23	22	6	82	70	25	7	199	69	112
PF3D7_1005200	4	5	8	1	0	2	3	3	3	2	0	0	3	4	0	1	1	0	4	0	0	0	2	3	1	2	5	0	3	0	0	2	0	1	0	0	2	2	1	0	0	0	0
PF3D7_0605000	9	26	22	1	3	6	4	3	4	15	2	3	8	13	3	3	7	26	15	0	3	2	5	11	1	7	4	2	8	1	4	0	3	4	1	2	10	7	9	0	14	7	9
PF3D7_0410900	40	42	20	12	2	6	5	7	16	16	1	7	0	13	0	3	23	19	5	0	8	5	27	3	23	1	4	11	6	0	14	2	28	1	3	1	84	9	8	3	103	7	4
PF3D7_1113700	25	53	11	4	3	4	5	11	18	6	2	4	0	3	2	0	13	14	6	0	1	7	18	2	5	0	6	3	2	1	4	0	9	3	2	0	25	8	2	1	19	4	8
PF3D7_1108800	4	24	0	1	1	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	3	0	1	1	2	1	1	1	2	0	1	1	0	0	8	0	0	0	11	0	0
PF3D7_1129400	449	692	218	140	40	70	50	97	220	124	15	81	12	206	24	5	200	96	55	12	84	77	406	18	142	19	42	40	99	18	143	12	182	20	17	28	538	65	24	10	538	44	86
PF3D7_1215000	8	8	2	3	2	2	0	2	2	1	0	1	0	0	1	0	11	1	2	0	4	0	2	0	0	2	1	1	0	1	3	1	4	0	1	3	10	1	2	0	0	2	0
PF3D7_0607000	758	417	821	184	97	76	61	269	338	137	5	51	50	299	21	94	370	210	206	18	57	47	220	118	72	76	95	60	72	57	74	5	101	39	30	14	328	75	28	6	182	81	376
PF3D7_0519600	24	54	15	6	0	10	6	11	10	12	0	11	3	19	4	3	17	10	11	2	4	4	16	4	5	6	7	4	5	1	19	0	15	4	2	2	63	7	4	0	22	4	18
PF3D7_1460600	249	484	24	40	29	73	25	94	138	127	15	30	33	121	8	2	113	61	79	16	21	30	216	34	46	16	34	26	94	11	19	7	39	18	9	9	223	76	23	8	266	46	150
PF3D7_1321700	133	214	133	43	21	59	15	73	83	59	6	34	16	84	12	9	123	195	97	7	9	12	86	30	8	29	32	7	17	9	11	4	22	25	24	4	47	49	37	7	40	33	57
PF3D7_0820000	763	593	252	164	60	71	48	224	215	134	17	72	30	332	17	11	233	149	90	23	66	55	297	81	112	37	164	38	74	50	184	15	129	39	18	23	559	90	34	12	241	56	187
PF3D7_0623900	16	24	18	6	0	11	2	22	2	5	0	5	5	17	2	7	16	14	15	1	2	2	16	6	9	7	5	0	4	0	4	0	1	1	3	2	11	19	7	1	3	2	1
PF3D7_0311900	12	13	16	6	4	9	1	10	0	5	0	5	0	3	1	0	12	13	3	0	3	0	3	0	0	2	0	3	3	3	5	0	2	0	1	0	8	4	5	0	1	2	0
PF3D7_1372900	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0905600	7	13	18	0	0	8	1	6	4	4	1	6	0	3	0	0	20	9	5	0	1	1	6	1	2	2	2	1	4	4	0	0	3	4	0	0	6	0	5	1	9	4	1
PF3D7_1437700	22	20	44	7	1	8	1	12	12	4	1	6	2	1	3	7	32	55	19	5	0	0	2	0	0	6	6	0	1	1	7	1	2	3	10	0	2	9	7	2	0	6	2
PF3D7_1307100	74	145	40	27	10	18	5	43	52	24	0	13	24	49	4	3	63	38	30	4	8	5	93	21	10	11	36	6	14	8	33	1	14	10	4	3	53	26	6	5	85	24	48
PF3D7_1110300	103	131	62	18	8	13	6	33	38	17	1	9	22	34	2	25	37	43	25	4	10	6	65	32	8	9	9	4	7	12	8	2	5	6	3	4	43	17	4	1	71	20	48
PF3D7_0532400	4	13	15	7	17	24	12	9	4	5	3	113	0	0	1	4	24	22	14	1	186	18	6	4	253	7	1	120	46	2	34	12	98	0	2	19	919	9	5	0	4	59	4
PF3D7_0527500	343	287	372	116	38	59	20	163	195	67	4	57	17	136	15	83	133	201	176	19	13	31	88	59	16	27	48	11	18	29	21	3	35	50	18	6	135	56	13	8	97	47	133
PF3D7_0620600	41	22	18	5	1	4	3	4	14	8	0	4	0	30	1	0	13	6	10	0	2	3	11	2	3	2	5	0	4	2	2	0	1	0	2	1	6	5	2	0	3	2	1
PF3D7_1413400	18	18	6	4	3	6	4	3	7	5	0	11	0	0	2	2	27	19	11	1	0	0	3	0	0	4	1	0	0	0	1	0	5	0	5	0	3	5	6	0	1	5	0
PF3D7_1214700	3	12	4	2	0	0	1	0	1	0	1	1	0	0	0	0	3	2	0	0	0	0	3	2	0	2	0	1	0	0	1	0	3	0	2	1	4	0	1	0	0	1	0
PF3D7_1327000	25	40	22	6	3	4	2	6	7	11	1	10	1	15	0	0	23	11	9	2	7	3	17	1	3	5	1	4	4	4	7	1	2	3	4	2	24	5	7	0	14	6	5
